Numer of GPUs, Average Number of Iterations, Number Of Values Per GPU, Total Number of Values, Number Of Features, Number of Clusters, 8Avg. RSME, Total Time (ms), Time Per Iteration (ms)
7,74,90,630,11,15,1.2312160862,2446.99900491,34.0852920903
7,91,90,630,11,15,2.82885731674,2682.89640972,28.8290174015
7,95,90,630,11,15,0.739483610415,2615.5336925,26.9870700474
7,93,90,630,11,15,0.619174903053,2569.4965635,28.0072049057
7,96,90,630,11,15,1.10474745159,2704.77063315,28.1578859423
7,93,90,630,11,15,1.36760727532,2588.78677232,27.1004541783
7,85,90,630,11,15,0.929079526875,2518.1182112,30.0188569961
7,75,90,630,11,15,0.815793019829,2427.70426614,32.3953986799
7,94,180,1260,11,15,1.41868976592,2756.45422935,28.960829493
7,93,180,1260,11,15,2.83093035508,2660.1266861,27.6529071029
7,98,180,1260,11,15,1.7198329211,2777.05856732,28.1451821228
7,96,180,1260,11,15,0.94202968795,2698.70727403,28.315086002
7,89,180,1260,11,15,1.15740823296,2656.70783179,30.117313062
7,95,180,1260,11,15,1.4396054657,2724.56026077,28.8062836906
7,85,180,1260,11,15,0.727086780019,2649.27557537,31.3760568429
7,81,180,1260,11,15,0.613588409185,2668.98853438,32.2949558043
7,91,180,1260,11,15,1.08493811686,2730.35543306,30.5060730217
7,68,180,1260,11,15,1.20486848167,2586.43068586,42.6213739423
7,86,360,2520,11,15,1.02675465523,2885.56769916,32.8735013941
7,88,360,2520,11,15,1.28609274499,2973.05727005,33.984651234
7,78,360,2520,11,15,1.12544451786,3004.98775073,37.7479136513
7,88,360,2520,11,15,1.2485128172,2909.65260778,32.3034240612
7,78,360,2520,11,15,1.09147810841,2928.57572011,39.2137925832
7,91,360,2520,11,15,0.853922146477,3069.14741652,32.529109062
7,96,360,2520,11,15,0.610091877223,3073.5514164,32.4115437072
7,84,360,2520,11,15,2.09145478128,2950.87855203,37.2810445126
7,84,360,2520,11,15,1.22552620027,2925.97913742,40.5545838801
7,93,360,2520,11,15,1.72592613718,3320.33501353,36.18404574
7,95,720,5040,11,15,0.61139865056,3717.98345021,38.3913211886
7,101,720,5040,11,15,0.639665187521,3852.62359892,38.1447881081
7,89,720,5040,11,15,2.03982703935,3659.9914687,41.4923834171
7,97,720,5040,11,15,1.20291249277,3823.73714447,39.282574463
7,94,720,5040,11,15,0.559968226402,3809.74132674,40.5057412187
7,92,720,5040,11,15,1.08241331046,3729.57757541,40.903822061
7,95,720,5040,11,15,0.662878598026,3731.73669406,38.8681686481
7,98,720,5040,11,15,2.30941602526,3740.85501262,37.9206886807
7,93,720,5040,11,15,0.851843867015,3702.45896067,39.1379888781
7,88,720,5040,11,15,2.2344399519,3772.06471988,44.5328706382
7,96,1440,10080,11,15,0.653264019225,5114.52681678,52.8593986973
7,98,1440,10080,11,15,1.59096842875,5127.15557643,51.7412216179
7,97,1440,10080,11,15,0.892055960307,5180.39110729,53.1297757607
7,95,1440,10080,11,15,1.13328373972,5088.29072544,53.3920325226
7,98,1440,10080,11,15,0.882531125254,5145.46598707,52.0536652959
7,95,1440,10080,11,15,1.00474703135,5113.33397457,53.0006216376
7,92,1440,10080,11,15,1.22908941636,4964.87436976,53.2488822876
7,99,1440,10080,11,15,1.14252694771,5161.24214445,51.9571290135
7,98,1440,10080,11,15,0.561519050321,5073.27154705,51.2033834107
7,101,1440,10080,11,15,0.9656386729,5167.11773191,51.1595815041
7,99,2880,20160,11,15,1.18473170798,7855.11602674,78.6325455408
7,101,2880,20160,11,15,1.47641777328,8013.4545735,79.341134391
7,101,2880,20160,11,15,1.07988822269,8137.50004768,80.5693074028
7,101,2880,20160,11,15,0.598788964467,8036.43924849,79.5687054306
7,101,2880,20160,11,15,0.636468053681,8075.57736124,79.9562114975
7,101,2880,20160,11,15,1.06228289617,8083.04241725,80.0301229431
7,101,2880,20160,11,15,1.38190455062,7807.97491755,77.306682352
7,101,2880,20160,11,15,0.979045370102,8139.65548788,80.5906483948
7,101,2880,20160,11,15,0.752050094746,8053.57142857,79.738330976
7,101,2880,20160,11,15,1.30855553395,8069.70858574,79.8981048093
7,101,5760,40320,11,15,1.49608519279,13585.5104242,134.5100042
7,100,5760,40320,11,15,0.621291652653,13643.3820384,135.823683228
7,101,5760,40320,11,15,1.31564291588,13597.6892539,134.630586673
7,101,5760,40320,11,15,0.968235724201,13658.1804071,135.229508981
7,101,5760,40320,11,15,0.777990567912,13589.840889,134.552880089
7,101,5760,40320,11,15,0.634493314267,13660.2964401,135.250459803
7,97,5760,40320,11,15,0.931255339821,13269.0064226,136.232352912
7,101,5760,40320,11,15,1.03665162215,13619.6149758,134.847673028
7,101,5760,40320,11,15,0.603559747566,13828.2096386,136.912966719
7,101,5760,40320,11,15,1.91421700337,13873.2624735,137.359034391
8,94,90,720,11,15,1.15840870365,3156.25458956,33.6086638771
8,83,90,720,11,15,1.0385544065,3026.82450414,37.4716629279
8,93,90,720,11,15,1.11074646389,3287.15839982,36.7975420675
8,87,90,720,11,15,1.36196316339,3181.46774173,37.3153317305
8,96,90,720,11,15,0.644411445826,3327.10936666,35.017793443
8,92,90,720,11,15,1.13717124728,3231.2399745,34.6420010863
8,90,90,720,11,15,2.17680804508,3234.74103212,35.7143299166
8,83,90,720,11,15,1.79133030177,3018.87881756,39.4324553695
8,90,90,720,11,15,0.660508556058,3191.46803021,34.2925024335
8,91,180,1440,11,15,1.07537077036,3268.25240254,36.0836608742
8,92,180,1440,11,15,1.16199094984,3130.69760799,34.760101898
8,94,180,1440,11,15,1.54045426459,3173.70763421,33.8180894116
8,94,180,1440,11,15,1.77593352229,3154.6792388,34.3684352401
8,86,180,1440,11,15,2.01496671836,3051.48366094,36.1201676898
8,90,180,1440,11,15,0.644682098769,3213.5437429,35.2398718756
8,96,180,1440,11,15,0.789582902046,3320.48112154,34.4423274071
8,91,180,1440,11,15,1.42548553141,3077.22535729,34.6007608086
8,93,180,1440,11,15,0.801086534861,3137.42008805,33.205463389
8,85,180,1440,11,15,1.38554950134,3099.24528003,36.1143526045
8,90,360,2880,11,15,1.27218239852,3332.52057433,35.6030353893
8,89,360,2880,11,15,0.567568443451,3466.27277136,39.2015299545
8,91,360,2880,11,15,0.671058765389,3525.56338906,36.9170610635
8,97,360,2880,11,15,1.14717086981,3680.74342608,37.9575613678
8,89,360,2880,11,15,0.804389648888,3516.12836123,39.7638212412
8,89,360,2880,11,15,0.938734557012,3415.48600793,39.5756260929
8,85,360,2880,11,15,2.30654411414,3445.79425454,40.7341535707
8,94,360,2880,11,15,1.61363873774,3626.1677742,37.9429487298
8,88,360,2880,11,15,1.06807634162,3432.30244517,38.8549203347
8,80,360,2880,11,15,1.32826156446,3451.40647888,42.6404381047
8,84,720,5760,11,15,1.9549488256,4041.53421521,47.9036002736
8,95,720,5760,11,15,1.20469882323,4238.93815279,44.3885535076
8,82,720,5760,11,15,1.49241385256,4028.73083949,48.3876696163
8,99,720,5760,11,15,0.689916846737,4196.28819823,41.9800117022
8,99,720,5760,11,15,1.21619396264,4193.69438291,41.8131657064
8,97,720,5760,11,15,0.950613736182,4168.40264201,42.6148842776
8,99,720,5760,11,15,0.702425693774,4232.04764724,42.1843767115
8,101,720,5760,11,15,1.12981032773,4323.525846,42.8071865941
8,90,720,5760,11,15,0.919100527975,4096.08584642,46.7238392576
8,95,720,5760,11,15,1.27495968913,4126.91891193,42.8417383823
8,101,1440,11520,11,15,0.738038119471,5709.14253592,56.526163722
8,96,1440,11520,11,15,1.53167807611,5472.19958901,58.0278590441
8,93,1440,11520,11,15,1.81288973627,5368.60123277,56.4532574227
8,100,1440,11520,11,15,1.49554249176,5725.63579679,57.2116512448
8,99,1440,11520,11,15,0.702343647922,5613.53588104,56.2859485178
8,101,1440,11520,11,15,0.8471316605,5542.44410992,54.8756842566
8,97,1440,11520,11,15,0.597795618766,5426.88003182,55.9879143555
8,86,1440,11520,11,15,1.7980477054,5315.06100297,60.1873907864
8,96,1440,11520,11,15,0.940325630912,5498.80409241,57.4328612742
8,101,1440,11520,11,15,0.949629775854,5680.58237433,56.2433898449
8,93,2880,23040,11,15,0.722236247533,8124.93672967,88.507790177
8,100,2880,23040,11,15,1.8595048466,8531.48964047,84.854848743
8,101,2880,23040,11,15,0.648184116328,8681.07622862,85.9512497883
8,101,2880,23040,11,15,1.02231944517,8528.36835384,84.4392906321
8,101,2880,23040,11,15,0.682372146202,8601.49899125,85.163356349
8,101,2880,23040,11,15,0.853184960587,8641.77709818,85.5621494869
8,101,2880,23040,11,15,0.616388463228,8647.98548818,85.6236186948
8,98,2880,23040,11,15,1.00524459267,8453.02373171,85.5726220385
8,101,2880,23040,11,15,1.21356181547,8682.04763532,85.9608676764
8,101,2880,23040,11,15,0.585851122094,8570.27253509,84.8541835157
8,101,5760,46080,11,15,1.05220351766,14546.7121005,144.02685248
8,92,5760,46080,11,15,1.08019138118,13109.3695164,141.015366794
8,99,5760,46080,11,15,1.14288815794,14141.2551105,142.111207858
8,101,5760,46080,11,15,0.61960857439,14009.2482865,138.705428579
8,101,5760,46080,11,15,2.31365484636,14359.2047393,142.170343954
8,101,5760,46080,11,15,1.35959999896,14230.6321263,140.897347785
8,101,5760,46080,11,15,0.666547951919,14436.8855953,142.93946134
8,99,5760,46080,11,15,0.680935536442,14222.3327756,142.323931037
8,98,5760,46080,11,15,1.02822688402,14388.6772394,146.901955699
8,101,5760,46080,11,15,0.840161788127,14587.518692,144.430878139
